,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11672,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19750518.0,19750518.0,False,,1,,,,2024-09-06T17:55:00.000Z,53913.65843073649,42061717476.82459,40.5981,-0.09403029,-4.63380238,-8.24925346,-3.11461176,-4.06784579,-22.33586121,1064822681282.1128,56.0291,1132186827045.47,,2024-09-06T17:55:00.000Z,,,,,,2024-09-06 14:55:59.377252
1,1027,Ethereum,ETH,ethereum,9264,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120317181.32365972,120317181.32365972,True,,2,,,,2024-09-06T17:54:00.000Z,2238.5670178238875,20223914478.47839,55.2343,-0.99321739,-6.31503184,-9.17271616,-5.81613076,-24.95785702,-39.23854659,269338073788.68088,14.1559,269338073788.68,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
2,825,Tether USDt,USDT,tether,96550,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118136286822.5227,120240893180.00955,True,,3,,,,2024-09-06T17:54:00.000Z,0.9994278128769017,63593955753.77871,38.4428,-0.00440289,-0.03205512,-0.03025575,-0.08734428,-0.03197112,-0.04716185,118068690760.43222,6.2055,120172092889.26,,2024-09-06T17:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-06 14:55:59.377252
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145934591.8275449,145934591.8275449,False,,4,,,,2024-09-06T17:54:00.000Z,486.61180637637835,1672089061.4734375,13.4928,-0.13762774,-3.08254297,-8.09156452,1.86978098,-3.50082309,-28.82135549,71013495342.00108,3.7366,71013495342.0,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
4,5426,Solana,SOL,solana,725,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466966367.8698589,583983878.2230145,True,,5,,,,2024-09-06T17:54:00.000Z,126.36114686829383,2677973307.1169686,48.162,0.35017091,-3.17378874,-5.82219865,-14.08227243,-7.83882697,-21.07067113,59006405792.95697,3.1013,73792872604.85,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
5,3408,USDC,USDC,usd-coin,21863,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34819963073.76582,34819963073.76582,False,,6,,,,2024-09-06T17:54:00.000Z,0.9999936676357271,8556708787.055881,56.1381,-0.00531062,-0.00251885,0.01848273,-0.00615375,0.00274211,-0.0078122,34819742581.07567,1.8301,34819742581.08,,2024-09-06T17:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-06 14:55:59.377252
6,52,XRP,XRP,xrp,1374,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56251561168.0,99987294444.0,False,,7,,,,2024-09-06T17:55:00.000Z,0.5205360622803396,1260668794.5698397,43.1696,0.31281465,-4.59183906,-6.49891395,3.46057376,21.91120219,5.59702946,29280966147.51238,1.5394,52053606228.03,,2024-09-06T17:55:00.000Z,,,,,,2024-09-06 14:55:59.377252
7,74,Dogecoin,DOGE,dogecoin,1053,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145846636383.70526,145846636383.70526,True,,8,,,,2024-09-06T17:55:00.000Z,0.09175965497718826,665091801.235284,52.5856,-0.10097228,-6.97268448,-7.58995916,-5.54035879,-13.99319354,-36.94789579,13382837034.152225,0.7036,13382837034.15,,2024-09-06T17:55:00.000Z,,,,,,2024-09-06 14:55:59.377252
8,1958,TRON,TRX,tron,1022,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86735598059.35019,86735632426.05896,True,,9,71659659264.0,10612842256.837168,,2024-09-06T17:54:00.000Z,0.14810065196847497,331572790.00535595,9.2814,0.08593608,-1.49903737,-7.36139429,18.89839369,18.10516518,29.41872476,12845598621.465355,0.6759,12845603711.2,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
9,11419,Toncoin,TON,toncoin,546,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532673744.1018667,5111493313.450065,True,,10,3414166606.0,16119866263.317364,,2024-09-06T17:54:00.000Z,4.721464451965694,431822221.30771476,75.2983,-0.82535134,1.19706311,-10.85551165,-12.83364289,-34.09174348,-33.60346281,11957929051.203823,0.6291,24133733975.91,,2024-09-06T17:54:00.000Z,,,,,,2024-09-06 14:55:59.377252
